x	y
-8.473156965677454	-5838848
-8.472708305516083	-9798656
-8.472259645354715	-6211584
-8.471810985193343	-6111232
-8.471362325031972	-8608768
-8.4709136648706	-15501312
-8.47046500470923	-7162880
-8.470016344547862	1650688
-8.46956768438649	1366016
-8.469119024225119	-51200
-8.468670364063748	-941056
-8.46822170390238	-4892672
-8.467773043741008	-9808896
-8.467324383579637	-13737984
-8.466875723418266	-3407872
-8.466427063256898	-3467264
-8.465978403095527	1764352
-8.465529742934155	3814400
-8.465081082772784	3108864
-8.464632422611416	-8973312
-8.464183762450045	-5371904
-8.463735102288673	-8506368
-8.463286442127302	-8470528
-8.462837781965934	-4405248
-8.462389121804563	-3849216
-8.461940461643191	-1744896
-8.46149180148182	2599936
-8.461043141320452	5122048
-8.460594481159081	-3274752
-8.46014582099771	-9449472
-8.459697160836338	-5949440
-8.45924850067497	-9029632
-8.4587998405136	-3879936
-8.458351180352228	685056
-8.457902520190856	-5187584
-8.457453860029489	-1730560
-8.457005199868117	1587200
-8.456556539706746	5831680
-8.456107879545375	10967040
-8.455659219384007	15834112
-8.455210559222635	-1858560
-8.454761899061264	-3661824
-8.454313238899893	-4325376
-8.453864578738525	-9292800
-8.453415918577154	-9178112
-8.452967258415782	-2755584
-8.45251859825441	888832
-8.452069938093043	832512
-8.451621277931672	-4690944
-8.4511726177703	-3555328
-8.450723957608929	-7446528
-8.450275297447561	-8923136
-8.44982663728619	-12240896
-8.449377977124819	-11819008
-8.448929316963447	-7483392
-8.448480656802076	2529280
-8.448031996640708	4070400
-8.447583336479337	6224896
-8.447134676317965	5634048
-8.446686016156594	-3635200
-8.446237355995226	-1714176
-8.445788695833855	-5509120
-8.445340035672483	-6184960
-8.444891375511112	409600
-8.444442715349744	5967872
-8.443994055188373	5490688
-8.443545395027002	8786944
-8.44309673486563	2676736
-8.442648074704262	2230272
-8.442199414542891	1716224
-8.44175075438152	-1561600
-8.441302094220148	5482496
-8.44085343405878	1202176
-8.44040477389741	3918848
-8.439956113736038	-934912
-8.439507453574667	-2696192
-8.439058793413299	517120
-8.438610133251927	2742272
-8.438161473090556	-4054016
-8.437712812929185	-14457856
-8.437264152767817	-6788096
-8.436815492606446	-5395456
-8.436366832445074	2920448
-8.435918172283703	-4004864
-8.435469512122335	-6814720
-8.435020851960964	-2797568
-8.434572191799592	4048896
-8.434123531638221	13003776
-8.433674871476853	2949120
-8.433226211315482	802816
-8.43277755115411	-2179072
-8.43232889099274	-9713664
-8.431880230831371	1699840
-8.43143157067	-3624960
-8.430982910508629	-3932160
-8.430534250347257	-4358144
-8.43008559018589	3677184
-8.429636930024518	5211136
-8.429188269863147	2927616
-8.428739609701775	-4037632
-8.428290949540404	-9500672
-8.427842289379036	-1911808
-8.427393629217665	-12096512
-8.426944969056294	-17624064
-8.426496308894922	-13113344
-8.426047648733554	-2353152
-8.425598988572183	-4195328
-8.425150328410812	3124224
-8.42470166824944	-556032
-8.424253008088073	1000448
-8.423804347926701	644096
-8.42335568776533	149504
-8.422907027603959	66560
-8.42245836744259	3031040
-8.42200970728122	1981440
-8.421561047119848	785408
-8.421112386958477	409600
-8.420663726797109	2173952
-8.420215066635738	2566144
-8.419766406474366	-1676288
-8.419317746312995	-2004992
-8.418869086151627	-5534720
-8.418420425990256	-6639616
-8.417971765828884	-2634752
-8.417523105667513	832512
-8.417074445506145	3468288
-8.416625785344774	-1097728
-8.416177125183403	-5829632
-8.415728465022031	-3719168
-8.415279804860663	-2606080
-8.414831144699292	-9299968
-8.41438248453792	-11832320
-8.41393382437655	-6387712
-8.413485164215182	542720
-8.41303650405381	-2854912
-8.412587843892439	-4422656
-8.412139183731068	-7587840
-8.4116905235697	90112
-8.411241863408328	-1282048
-8.410793203246957	1773568
-8.410344543085586	1224704
-8.409895882924218	-2253824
-8.409447222762847	2085888
-8.408998562601475	1333248
-8.408549902440104	-1002496
-8.408101242278732	-10116096
-8.407652582117365	-8435712
-8.407203921955993	5536768
-8.406755261794622	7190528
-8.40630660163325	-1553408
-8.405857941471883	-9136128
-8.405409281310511	-826368
-8.40496062114914	-3996672
-8.404511960987769	-10587136
-8.404063300826401	-10386432
-8.40361464066503	-10651648
-8.403165980503658	-7881728
-8.402717320342287	-956416
-8.40226866018092	-9734144
-8.401820000019548	-8941568
-8.401371339858176	-9956352
-8.400922679696805	-5784576
-8.400474019535437	2026496
-8.400025359374066	44032
-8.399576699212695	-3339264
-8.399128039051323	-1614848
-8.398679378889955	-11694080
-8.398230718728584	-18398208
-8.397782058567213	-25051136
-8.397333398405841	-14680064
-8.396884738244474	-11339776
-8.396436078083102	-9292800
-8.39598741792173	-3316736
-8.39553875776036	-6302720
-8.395090097598992	-11061248
-8.39464143743762	-11292672
-8.394192777276249	-9250816
-8.393744117114878	-9390080
-8.39329545695351	-9097216
-8.392846796792139	-4598784
-8.392398136630767	-3674112
-8.391949476469396	1935360
-8.391500816308028	2256896
-8.391052156146657	-4519936
-8.390603495985285	-671744
-8.390154835823914	7923712
-8.389706175662546	9400320
-8.389257515501175	4420608
-8.388808855339803	-5988352
-8.388360195178432	-7988224
-8.38791153501706	-2904064
-8.387462874855693	9131008
-8.387014214694322	12362752
-8.38656555453295	12805120
-8.386116894371579	5987328
-8.385668234210211	-3017728
-8.38521957404884	-6867968
-8.384770913887468	-1713152
-8.384322253726097	5849088
-8.38387359356473	2616320
-8.383424933403358	10024960
-8.382976273241987	7238656
-8.382527613080615	7695360
-8.382078952919247	15172608
-8.381630292757876	11525120
-8.381181632596505	5608448
-8.380732972435133	5029888
-8.380284312273766	6926336
-8.379835652112394	9592832
-8.379386991951023	12693504
-8.378938331789652	9391104
-8.378489671628284	7613440
-8.378041011466912	7132160
-8.377592351305541	1273856
-8.37714369114417	3225600
-8.376695030982802	7012352
-8.37624637082143	3542016
-8.37579771066006	-8492032
-8.375349050498688	-4395008
-8.37490039033732	657408
-8.374451730175949	-1668096
-8.374003070014577	-3617792
-8.373554409853206	-9149440
-8.373105749691838	258048
-8.372657089530467	4301824
-8.372208429369095	594944
-8.371759769207724	-2604032
-8.371311109046356	-5873664
-8.370862448884985	-10643456
-8.370413788723614	-1214464
-8.369965128562242	1328128
-8.369516468400874	-8808448
-8.369067808239503	-2494464
-8.368619148078132	-10379264
-8.36817048791676	-6498304
-8.367721827755389	1335296
-8.367273167594021	2603008
-8.36682450743265	2947072
-8.366375847271279	8963072
-8.365927187109907	17116160
-8.36547852694854	11198464
-8.365029866787168	9909248
-8.364581206625797	2939904
-8.364132546464425	-4652032
-8.363683886303058	1313792
-8.363235226141686	5734400
-8.362786565980315	7588864
-8.362337905818944	-1567744
-8.361889245657576	-8924160
-8.361440585496204	-3297280
-8.360991925334833	-4143104
-8.360543265173462	-5489664
-8.360094605012094	-12558336
-8.359645944850723	-12303360
-8.359197284689351	-4224000
-8.35874862452798	-7317504
-8.358299964366612	-3002368
-8.35785130420524	1192960
-8.35740264404387	1059840
-8.356953983882498	-5968896
-8.35650532372113	2906112
-8.356056663559759	4699136
-8.355608003398387	3496960
-8.355159343237016	-2152448
-8.354710683075648	-5351424
-8.354262022914277	-3960832
-8.353813362752906	1040384
-8.353364702591534	5816320
-8.352916042430166	-651264
-8.352467382268795	1900544
-8.352018722107424	13095936
-8.351570061946052	11910144
-8.351121401784685	4950016
-8.350672741623313	-2880512
-8.350224081461942	2040832
-8.34977542130057	-5673984
-8.349326761139203	-5912576
-8.348878100977831	-4244480
-8.34842944081646	-9051136
-8.347980780655089	-12210176
-8.347532120493717	-10423296
-8.34708346033235	-5999616
-8.346634800170978	-7161856
-8.346186140009607	-11924480
-8.345737479848236	-4861952
-8.345288819686868	-856064
-8.344840159525496	-3507200
-8.344391499364125	4683776
-8.343942839202754	7713792
-8.343494179041386	-172032
-8.343045518880015	-322560
-8.342596858718643	-1542144
-8.342148198557272	-4100096
-8.341699538395904	-12594176
-8.341250878234533	-5175296
-8.340802218073161	-6768640
-8.34035355791179	-6493184
-8.339904897750422	-13935616
-8.33945623758905	-14695424
-8.33900757742768	-2553856
-8.338558917266308	-5040128
-8.33811025710494	-3913728
-8.337661596943569	2222080
-8.337212936782198	-3366912
-8.336764276620826	350208
-8.336315616459459	720896
-8.335866956298087	-882688
-8.335418296136716	948224
-8.334969635975344	6079488
-8.334520975813977	-1127424
-8.334072315652605	-3827712
-8.333623655491234	927744
-8.333174995329863	772096
-8.332726335168495	-352256
-8.332277675007123	-2711552
-8.331829014845752	-4301824
-8.33138035468438	-9655296
-8.330931694523013	-4951040
-8.330483034361642	-3360768
-8.33003437420027	-7578624
-8.329585714038899	-8945664
-8.329137053877531	2742272
-8.32868839371616	-1254400
-8.328239733554788	-2256896
-8.327791073393417	5104640
-8.327342413232046	4713472
-8.326893753070678	9342976
-8.326445092909307	12250112
-8.325996432747935	11934720
-8.325547772586564	9387008
-8.325099112425196	8907776
-8.324650452263825	17589248
-8.324201792102453	11595776
-8.323753131941082	8456192
-8.323304471779714	14869504
-8.322855811618343	24555520
-8.322407151456972	7518208
-8.3219584912956	4466688
-8.321509831134232	8156160
-8.321061170972861	-986112
-8.32061251081149	-1458176
-8.320163850650118	811008
-8.31971519048875	12142592
-8.31926653032738	11684864
-8.318817870166008	652288
-8.318369210004636	2821120
-8.317920549843269	1011712
-8.317471889681897	3109888
-8.317023229520526	1309696
-8.316574569359155	3095552
-8.316125909197787	12288
-8.315677249036415	1853440
-8.315228588875044	-5238784
-8.314779928713673	5705728
-8.314331268552305	-3873792
-8.313882608390934	-6675456
-8.313433948229562	-3433472
-8.312985288068191	-3815424
-8.312536627906823	-11294720
-8.312087967745452	-8702976
-8.31163930758408	-8434688
-8.311190647422709	-9463808
